symbol,marketCap,ipoYear,sector,industry,date,open,high,low,close,volume,adjclose
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-22,4.16,4.22,4.15,4.18,19900,4.18
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-19,4.25,4.25,4.12,4.16,43900,4.16
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-18,4.17,4.3,4.17,4.24,71700,4.24
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-17,4.24,4.25,4.13,4.19,44300,4.19
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-16,4.26,4.27,4.12,4.21,52200,4.21
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-15,4.25,4.3,4.11,4.24,75600,4.24
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-12,4.27,4.3,4.2,4.28,64000,4.28
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-11,4.29,4.31,4.25,4.25,35900,4.25
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-10,4.25,4.36,4.23,4.3,106700,4.3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-09,4.27,4.28,4.25,4.27,45800,4.27
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-08,4.15,4.29,4.15,4.27,60800,4.27
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-05,4.15,4.25,4.14,4.2,116500,4.2
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-04,4.14,4.15,4.05,4.11,22300,4.11
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-03,4.06,4.23,3.95,4.13,100200,4.13
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-02,4.06,4.08,3.97,4,56500,4
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-06-01,4.35,4.45,3.79,4.04,109200,4.04
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-29,3.83,4.22,3.8,4.22,141600,4.22
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-28,3.69,3.84,3.69,3.84,15600,3.84
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-27,3.81,3.85,3.74,3.74,38700,3.74
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-26,3.88,3.89,3.69,3.84,25600,3.84
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-22,3.81,3.95,3.81,3.84,62700,3.84
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-21,3.81,3.86,3.75,3.79,20500,3.79
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-20,3.69,3.97,3.61,3.73,95000,3.73
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-19,3.73,3.78,3.6,3.65,57200,3.65
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-18,3.37,3.81,3.37,3.78,271700,3.78
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-15,3.18,3.34,3.1,3.33,494000,3.33
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-14,2.95,3.08,2.93,3,41100,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-13,3.06,3.06,2.94,2.99,11900,2.99
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-12,2.98,3,2.95,2.97,25600,2.97
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-11,3,3.02,2.96,2.98,4400,2.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-08,3.06,3.07,2.95,2.97,10200,2.97
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-07,2.97,3.01,2.97,2.98,6500,2.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-06,2.98,3.04,2.95,2.98,21700,2.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-05,3,3,2.95,2.97,11600,2.97
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-04,2.95,3.11,2.92,2.96,19600,2.96
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-05-01,2.91,3.05,2.91,2.95,10300,2.95
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-30,2.98,3.02,2.89,2.95,17900,2.95
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-29,3.04,3.04,2.95,3,38500,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-28,3,3.08,2.99,3.07,18900,3.07
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-27,3.07,3.2,3.03,3.03,34900,3.03
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-24,3,3.15,2.97,3.1,101100,3.1
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-23,3.08,3.08,3,3,29400,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-22,3.13,3.13,3,3,79000,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-21,3.2,3.22,3.05,3.1,137100,3.1
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-20,3.12,3.25,3.11,3.15,385800,3.15
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-17,2.98,3.02,2.93,3,13500,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-16,2.96,3.04,2.96,2.99,4900,2.99
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-15,2.96,3.03,2.85,3,12700,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-14,2.97,3.03,2.9,2.99,17400,2.99
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-13,3.05,3.05,2.85,2.99,41500,2.99
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-10,3.05,3.07,2.97,3.04,113200,3.04
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-09,3.06,3.09,3.02,3.09,19600,3.09
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-08,3.04,3.07,2.97,2.98,62200,2.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-07,3.15,3.16,3.01,3.07,47600,3.07
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-06,3.23,3.23,3.14,3.14,6200,3.14
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-02,3.24,3.24,3.16,3.19,18800,3.19
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-04-01,3.17,3.22,3.14,3.2,28900,3.2
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-31,3.13,3.4,3.13,3.16,45000,3.16
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-30,3.2,3.2,3.1,3.17,46300,3.17
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-27,3.19,3.27,2.97,3.19,33400,3.19
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-26,3.21,3.3,3.2,3.22,36800,3.22
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-25,3.24,3.24,3.12,3.2,48000,3.2
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-24,3.25,3.3,3.2,3.2,37700,3.2
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-23,3.16,3.25,3.12,3.21,46200,3.21
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-20,3.17,3.25,3.07,3.11,73700,3.11
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-19,3.1,3.2,3.05,3.17,97300,3.17
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-18,2.98,3.11,2.96,3.05,122200,3.05
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-17,3.03,3.03,2.94,2.98,5300,2.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-16,3.03,3.03,2.91,3,57200,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-13,3.02,3.03,2.95,3,59500,3
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-12,2.97,3.03,2.97,3.01,17900,3.01
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-11,3.09,3.09,2.95,2.96,52600,2.96
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-10,3,3.03,2.96,3.01,29400,3.01
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-09,2.97,3.17,2.97,3.02,67100,3.02
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-06,2.85,3.11,2.85,2.95,109600,2.95
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-05,2.78,2.85,2.75,2.84,64500,2.84
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-04,2.77,2.78,2.71,2.74,32600,2.74
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-03,2.75,2.75,2.63,2.73,7900,2.73
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-03-02,2.67,2.77,2.67,2.75,56000,2.75
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-27,2.67,2.67,2.67,2.67,400,2.67
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-26,2.71,2.71,2.63,2.69,1400,2.69
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-25,2.66,2.69,2.61,2.64,18100,2.64
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-24,2.7,2.72,2.7,2.72,3600,2.72
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-23,2.65,2.73,2.64,2.65,8300,2.65
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-20,2.68,2.7,2.65,2.66,15200,2.66
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-19,2.7,2.74,2.59,2.65,18200,2.65
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-18,2.57,2.65,2.55,2.64,46600,2.64
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-17,2.51,2.59,2.51,2.54,63000,2.54
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-13,2.52,2.59,2.51,2.58,8900,2.58
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-12,2.59,2.59,2.51,2.58,12700,2.58
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-11,2.56,2.59,2.52,2.58,8700,2.58
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-10,2.56,2.64,2.53,2.59,21600,2.59
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-09,2.62,2.65,2.51,2.55,16600,2.55
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-06,2.7,2.73,2.59,2.62,35100,2.62
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-02-05,2.59,2.7,2.51,2.68,12000,2.68
